File Code,BLS Code,BLS Region,BLS Region 2,Scenario Code,Scenario,Time_Slice,CO2 effects,CO2 ppm,Adapt- ation,wheat,rice,coarse grains,protein feed,,grains,four commo-dities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,Brazil,Brazil,4,GISS,Equilibrium,Yes,555,Level 2,-16,-8,-6,13,,-10,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,Brazil,Brazil,5,GFDL,Equilibrium,No,330,No,-38,-26,-20,-20,,-28,-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,Brazil,Brazil,6,GFDL,Equilibrium,Yes,555,No,-26,-15,-16,-3,,-19,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,Brazil,Brazil,7,GFDL,Equilibrium,Yes,555,Level 1,-17,-7,-13,11,,-12,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,Brazil,Brazil,8,GFDL,Equilibrium,Yes,555,Level 2,-8,-3,-6,11,,-6,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,Brazil,Brazil,9,UKMO,Equilibrium,No,330,No,-53,-44,-27,-53,,-41,-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,Brazil,Brazil,10,UKMO,Equilibrium,Yes,555,No,-41,-33,-23,-36,,-32,-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,Brazil,Brazil,11,UKMO,Equilibrium,Yes,555,Level 1,-31,-25,-20,-7,,-25,-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,Brazil,Brazil,12,UKMO,Equilibrium,Yes,555,Level 2,-15,-12,-10,-3,,-12,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,Brazil,Brazil,25,CM3-A,2020,No,330,Level 1,-24,-24,-3,-13,,-17,-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,Brazil,Brazil,26,CM3-A,2020,Yes,475,Level 1,-18,-20,1,-5,,-12,-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,Brazil,Brazil,27,CM3-A,2050,No,330,Level 1,-41,-41,-8,-25,,-30,-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,Brazil,Brazil,28,CM3-A,2050,Yes,574,Level 1,-29,-30,-4,-8,,-21,-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,Brazil,Brazil,29,CM3-A,2080,No,330,Level 1,-55,-55,-13,-38,,-41,-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,Brazil,Brazil,30,CM3-A,2080,Yes,712,Level 1,-38,-39,-7,-15,,-28,-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,Brazil,Brazil,31,CM2-S550,2020,No,330,Level 1,-8,-8,-1,-4,,-6,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,Brazil,Brazil,32,CM2-S550,2020,Yes,410,Level 1,-4,-6,3,3,,-2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,Brazil,Brazil,33,CM2-S550,2050,No,330,Level 1,-5,-5,3,0,,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,Brazil,Brazil,34,CM2-S550,2050,Yes,458,Level 1,3,0,5,11,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,Brazil,Brazil,35,CM2-S550,2080,No,330,Level 1,-22,-22,-5,-16,,-16,-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,Brazil,Brazil,36,CM2-S550,2080,Yes,498,Level 1,-14,-17,-3,-1,,-11,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,Brazil,Brazil,37,CM2-S550,2110,No,330,Level 1,-6,-6,2,-12,,-3,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,Brazil,Brazil,38,CM2-S550,2110,Yes,530,Level 1,4,2,5,2,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,Brazil,Brazil,39,CM2-S750,2020,No,330,Level 1,-11,-11,-2,-19,,-8,-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,Brazil,Brazil,40,CM2-S750,2020,Yes,424,Level 1,-7,-9,-1,-13,,-6,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,Brazil,Brazil,41,CM2-S750,2050,No,330,Level 1,-6,-6,1,-14,,-4,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,Brazil,Brazil,42,CM2-S750,2050,Yes,501,Level 1,2,-1,3,-3,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,Brazil,Brazil,43,CM2-S750,2080,No,330,Level 1,-8,-8,1,-17,,-5,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,Brazil,Brazil,44,CM2-S750,2080,Yes,577,Level 1,4,3,5,0,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,Brazil,Brazil,45,CM2-S750,2110,No,330,Level 1,-14,-14,-1,-23,,-10,-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,Brazil,Brazil,46,CM2-S750,2110,Yes,643,Level 1,1,0,4,-3,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,138,Mexico,Mexico,1,GISS,Equilibrium,No,330,No,-53,-43,-43,-43,,-46,-46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,138,Mexico,Mexico,2,GISS,Equilibrium,Yes,555,No,-41,-32,-39,-26,,-37,-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,138,Mexico,Mexico,3,GISS,Equilibrium,Yes,555,Level 1,-31,-24,-35,-18,,-30,-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,138,Mexico,Mexico,4,GISS,Equilibrium,Yes,555,Level 2,-15,-12,-17,-9,,-15,-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,138,Mexico,Mexico,5,GFDL,Equilibrium,No,330,No,-46,-36,-36,-36,,-39,-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,138,Mexico,Mexico,6,GFDL,Equilibrium,Yes,555,No,-34,-25,-32,-19,,-30,-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,138,Mexico,Mexico,7,GFDL,Equilibrium,Yes,555,Level 1,-24,-17,-28,-11,,-23,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,138,Mexico,Mexico,8,GFDL,Equilibrium,Yes,555,Level 2,-12,-8,-14,-5,,-11,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,138,Mexico,Mexico,9,UKMO,Equilibrium,No,330,No,-55,-45,-45,-45,,-48,-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,138,Mexico,Mexico,10,UKMO,Equilibrium,Yes,555,No,-43,-34,-41,-28,,-39,-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,138,Mexico,Mexico,11,UKMO,Equilibrium,Yes,555,Level 1,-33,-35,-37,-20,,-35,-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,138,Mexico,Mexico,12,UKMO,Equilibrium,Yes,555,Level 2,-16,-17,-18,-10,,-17,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,138,Mexico,Mexico,25,CM3-A,2020,No,330,Level 1,-6,-6,-12,-10,,-8,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,138,Mexico,Mexico,26,CM3-A,2020,Yes,475,Level 1,0,-2,-8,-2,,-3,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,138,Mexico,Mexico,27,CM3-A,2050,No,330,Level 1,-20,-20,-17,-17,,-19,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,138,Mexico,Mexico,28,CM3-A,2050,Yes,574,Level 1,-8,-9,-13,0,,-10,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,138,Mexico,Mexico,29,CM3-A,2080,No,330,Level 1,-38,-38,-23,-29,,-33,-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,138,Mexico,Mexico,30,CM3-A,2080,Yes,712,Level 1,-21,-22,-17,-6,,-20,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,138,Mexico,Mexico,31,CM2-S550,2020,No,330,Level 1,-11,-11,-7,-1,,-10,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,138,Mexico,Mexico,32,CM2-S550,2020,Yes,410,Level 1,-6,-8,-5,6,,-6,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,138,Mexico,Mexico,33,CM2-S550,2050,No,330,Level 1,-12,-12,-10,-3,,-11,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,138,Mexico,Mexico,34,CM2-S550,2050,Yes,458,Level 1,-4,-7,-8,8,,-6,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,138,Mexico,Mexico,35,CM2-S550,2080,No,330,Level 1,-10,-10,-12,-8,,-11,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,138,Mexico,Mexico,36,CM2-S550,2080,Yes,498,Level 1,1,0,-9,6,,-3,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,138,Mexico,Mexico,37,CM2-S550,2110,No,330,Level 1,-15,-15,-19,-11,,-16,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,138,Mexico,Mexico,38,CM2-S550,2110,Yes,530,Level 1,-5,-7,-16,3,,-9,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,138,Mexico,Mexico,39,CM2-S750,2020,No,330,Level 1,-10,-10,-11,-3,,-10,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,138,Mexico,Mexico,40,CM2-S750,2020,Yes,424,Level 1,-6,-8,-10,3,,-8,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,138,Mexico,Mexico,41,CM2-S750,2050,No,330,Level 1,-10,-10,-16,-9,,-12,-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
